Date,ODO,dollars_per_gal,gallons
05-01-12,426,3.599,8.463
05-21-12,550,3.739,7.223
05-26-12,819,3.559,5.62
05-27-12,978,3.519,7.396
06-06-12,1211,3.439,8.107
06-08-12,1496,3.459,8.829
06-10-12,1850,3.559,10.142
06-11-12,2214,3.279,9.444
06-21-12,2540,3.299,11.448
07-09-12,2793,3.239,8.754
07-19-12,3040,3.399,7.604
07-20-12,3386,3.499,10.002
07-22-12,3693,3.459,9.257
07-28-12,3980,3.399,8.643
08-10-12,4273,3.499,10.014
08-11-12,4590,3.699,9.463
08-19-12,4817,3.709,7.011
08-24-12,5091,3.659,8.92
08-24-12,5439,3.649,9.844
08-26-12,5726,3.649,8.497
09-06-12,6040,3.699,10.23
09-15-12,6271,3.859,8.855
09-28-12,6516,3.759,9.8046
09-29-12,6870,3.159,11.059
09-30-12,7206,4.099,6.831
10-09-12,7377,3.719,9.594
10-24-12,7601,3.539,9.111
10-26-12,7846,3.769,6.898
10-28-12,8159,3.719,9.573
11-12-12,8417,3.659,9.301
11-30-12,8611,3.439,8.145
11-30-12,8970,3.599,11.186
12-03-12,9287,3.599,10.419
12-14-12,9454,3.339,6.712
12-14-12,9789,3.459,9.836
12-16-12,10024,3.359,7.149
01-11-13,10323,3.359,10.454
01-25-13,10518,3.259,9.767
02-08-13,10743,3.519,7.757
03-05-13,10945,3.539,9.624
03-19-13,11159,3.499,8.358
04-05-13,11350,3.399,8.237
04-17-13,11525,3.299,6.972
04-18-13,11874,3.599,10.169
04-21-13,12226,3.179,10.678
05-07-13,12497,3.259,9.742
05-19-13,12717,3.559,8.321
05-26-13,12959,3.499,8.745
05-28-13,13338,3.599,11.179
06-02-13,13667,3.559,11.003
06-08-13,14044,3.319,10.508
06-22-13,14279,3.319,9.038
06-27-13,14443,3.319,6.711
07-04-13,14749,3.519,9.948
07-07-13,15053,3.519,8.951
07-10-13,15336,3.259,7.994
07-12-13,15542,3.499,6.007
07-14-13,15770,3.469,7.422
07-16-13,16144,3.419,5.683
07-22-13,16251,3.619,9.029
08-11-13,16490,3.439,10.416
08-31-13,n/a,3.459,10.373
09-13-13,17057,3.399,10.763
09-15-13,17413,3.629,10.2
09-18-13,17803,3.339,10.999
09-28-13,18113,3.539,9.671
09-29-13,18397,3.539,7.955
10-03-13,18678,3.179,8.807
10-11-13,18965,3.329,10.276
10-13-13,19243,3.459,8.964
10-15-13,19612,3.199,10.568
10-19-13,19972,3.139,10.541
11-04-13,20214,3.019,9.005
11-25-13,20470,3.319,10.561
12-05-13,20593,3.159,5.381
12-07-13,20979,3.459,10.987
12-08-13,21096,3.579,5.03
12-16-13,21408,3.199,10.499
01-12-14,21626,3.219,9.729
02-07-14,21802,3.179,9.007
03-08-14,22036,3.359,10.582
04-02-14,22304,3.319,10.269
04-21-14,22600,3.439,5.816
04-23-14,22726,3.419,10.571
04-23-14,23111,3.829,10.648
05-26-14,23524,3.339,11.038
06-28-14,23812,3.419,11.233
07-21-14,24048,3.279,6.099
08-13-14,24236,3.159,6.331
08-26-14,24424,3.099,8.067
09-23-14,24557,2.999,6.669
10-14-14,24693,2.859,6.999
11-07-14,24878,2.599,7.695
11-21-14,25033,2.559,7.113
11-27-14,25315,2.799,9.783
11-23-14,25524,3.259,6.148
12-06-14,25851,2.999,10.682
12-13-14,26193,2.399,11.148
12-24-14,26411,2.239,8.978
01-10-15,26646,1.959,10.021
01-29-15,26885,1.879,10.929
02-21-15,27110,2.05,9.713
03-13-15,27316,2.21,9.923
03-27-15,27530,2.03,9.316
04-15-15,27708,2.219,7.211
05-01-15,27938,2.419,8.955
05-22-15,28214,2.799,10.417
05-25-15,28387,2.899,4.228
06-03-15,28672,2.499,11.213
06-06-15,29033,2.859,10.842
06-07-15,29387,2.969,10.11
06-12-15,29738,2.459,6.507
06-24-15,29932,2.499,8.003
07-07-15,30138,2.519,11.069
07-29-15,30411,2.379,10.507
08-03-15,30781,2.359,10.759
08-07-15,31104,2.753,10.05
08-09-15,31458,2.619,10.159
08-28-15,31793,2.139,11.025
09-13-15,32041,2.059,9.955
09-27-15,32317,1.999,9.004
10-08-15,32632,1.959,10.81
10-23-15,32940,1.899,11.345
11-06-15,33282,1.939,11.368
11-24-15,33509,1.939,9.048
11-25-15,33841,2.319,10
11-29-15,34227,2.299,4.352
12-04-15,34360,2.059,10.888
01-05-16,34548,1.799,8.68
01-22-16,34815,1.699,10.029
02-03-16,35109,1.659,10.653
02-05-16,35395,1.599,10
02-28-16,35709,1.579,11.227
03-12-16,36054,1.639,10.581
03-23-16,36394,1.599,3.127
03-24-16,36446,1.679,9.41
04-10-16,36790,1.839,10.629
04-20-16,37001,1.839,6.723
05-03-16,37311,1.939,9.875
06-03-16,37650,2.439,10.868
06-16-16,38005,2.039,11.191
06-30-16,38322,1.939,10.363
07-12-16,38612,1.839,10.332
07-22-16,38828,1.819,7.699
08-02-16,39177,1.779,11.259
08-05-16,39396,2.099,6.915
08-07-16,39778,2.099,11.044
08-14-16,40143,1.909,11.394
08-22-16,40434,1.959,9.856
09-19-16,40767,2.019,10.898
09-26-16,41104,1.919,10.804
10-11-16,41416,1.919,10.82
10-21-16,41630,1.939,7.532
10-23-16,41914,2.219,9.014
10-31-16,42279,1.939,11.15
11-11-16,42534,2.179,9.003
11-25-16,42834,2.249,10.322
12-07-16,43144,2.359,2.119
12-07-16,43154,2.259,9.305
12-09-16,43361,2.389,7.048
12-11-16,43645,2.459,10.01
12-13-16,43995,2.299,11.202
01-04-17,44292,2.359,11.074
01-14-17,44535,2.799,9.031
01-26-17,44861,2.299,10.873
02-13-17,45158,2.499,10.922
02-24-17,45436,2.179,9.959
03-05-17,45653,2.159,7.749
03-23-17,45952,2.199,10.931
04-07-17,46285,2.259,11.216
04-19-17,46598,2.439,11.032
05-01-17,46861,2.339,9.411
05-29-17,47168,2.299,10.487
06-09-17,47492,2.279,10.99
06-15-17,47724,2.299,8.915
06-16-17,48094,2.499,11.011
06-18-17,48365,2.354,7.741
07-11-17,48655,2.179,10.329
07-26-17,48852,2.259,8.358
09-16-17,49145,2.639,9.507
09-24-17,49443,2.499,10.018
10-10-17,49723,2.459,10.732
10-22-17,49847,2.319,2.319
10-27-17,50113,2.729,8.747
10-29-17,50408,2.729,8.715
11-03-17,50773,2.379,11.266
11-18-17,50964,2.479,8.108
11-19-17,51265,2.559,8.884
12-03-17,51556,2.419,10.754
12-09-17,51791,2.699,8.899
12-11-17,52093,2.799,10.021
12-11-17,52454,2.589,10.144
01-16-18,52693,2.599,10.51
